Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
"Grape, extract",1,LOW,LOW,LOW,LOW,
CAPRYL/ CAPRAMIDOPROPYL BETAINE,1,LOW,MODERATE,LOW,HIGH,Use restrictions (high)
OPUNTIA TUNA (PRICKLY PEAR) EXTRACT,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM,1,LOW,LOW,LOW,LOW,
POTASSIUM PALMATE,1,LOW,LOW,LOW,LOW,
PRUNUS DULCIS (ALMOND),1,LOW,LOW,LOW,LOW,
SORBITAN,1,LOW,LOW,LOW,LOW,
HYDROGENATED SUNFLOWER SEED OIL,1,LOW,LOW,LOW,LOW,
METHYL GLUCOSE CAPRYLATE/ CAPRATE,1,LOW,LOW,LOW,LOW,
PAEONIA OFFICINALIS FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PRUNUS AMYGDALUS AMARA (BITTER ALMOND) KERNEL OIL,4,LOW,HIGH,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), and Occupational hazards (high)"
SPIRULINA,1,LOW,LOW,LOW,LOW,
PEG/ PPG/ POLYBUTYLENE GLYCOL-8/ 5/ 3 GLYCERIN,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
BEER,1,LOW,LOW,LOW,LOW,
OLEFIN SULFONATE,1,LOW,LOW,LOW,LOW,
ROSE HIPS,1,LOW,LOW,LOW,LOW,
PRUNUS PERSICA (PEACH) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
RUMEX OCCIDENTALIS EXTRACT,1,LOW,LOW,LOW,LOW,
SALICYLOYL PHYTOSPHINGOSINE,1,LOW,LOW,LOW,LOW,
BEHENYL DIMETHICONE,1,LOW,LOW,LOW,LOW,
MANGIFERA INDICA (MANGO) FRUIT,1,LOW,LOW,LOW,LOW,
LACTOBACILLUS/ KELP FERMENT FILTRATE,1,LOW,LOW,LOW,LOW,
AMINO ACIDS,1,LOW,LOW,LOW,LOW,
BUTOXYDIGLYCOL,2,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (high)"
ORANGE,1,LOW,LOW,LOW,LOW,
SORBITAN ESTER,1,LOW,LOW,LOW,LOW,
TRIDECETH-7 CARBOXYLIC ACID,1,LOW,LOW,LOW,LOW,
AMINO ESTERS-1,1,LOW,LOW,LOW,LOW,
CETEARYL WHEAT STRAW GLYCOSIDES,1,LOW,LOW,LOW,LOW,
BEHENYL/ STEARYL AMINOPROPANEDIOL ESTERS,1,LOW,LOW,LOW,LOW,
PSEUDOZYMA EPICOLA/ CAMELLIA SINENSIS SEED OIL FERMENT EXTRACT FILTRATE,1,LOW,LOW,LOW,LOW,
AVENA SATIVA (OAT) BRAN,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CERAMIDE 4,1,LOW,LOW,LOW,LOW,
FORMIC ACID,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
GLYCERYL CITRATE/ LACTATE/ LINOLEATE/ OLEATE,1,LOW,LOW,LOW,LOW,
HYDROLYZED GARDENIA FLORIDA EXTRACT,1,LOW,LOW,LOW,LOW,
ORCHIS MORIO FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
CURCUMA LONGA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
PERILLA FRUTESCENS LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
METHYLGLUCOSIDE PHOSPHATE,1,LOW,LOW,LOW,LOW,
ARCTIUM LAPPA (BURDOCK) EXTRACT,1,LOW,LOW,LOW,LOW,
DECYL OLIVATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
DIMETHYL LAURAMINE ISOSTEARATE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
PIGMENT BLUE 15,4,LOW,LOW,LOW,HIGH,Use restrictions (high) and Non-reproductive organ system toxicity (low)
POLYQUATERNIUM -80,1,LOW,LOW,LOW,LOW,
LARIX EUROPAEA WOOD EXTRACT,1,LOW,LOW,LOW,LOW,
PIPER NIGRUM (BLACK PEPPER) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
CLARY SAGE,1,LOW,LOW,LOW,LOW,
CITRUS GRANDIS (GRAPEFRUIT) SEED OIL,4,LOW,HIGH,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
QUATERNIUM-90 SEPIOLITE,1,LOW,LOW,LOW,LOW,
COIX LACRYMA-JOBI (JOB'S TEARS) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
DIMETHICONOL MEADOWFOAMATE,1,LOW,LOW,LOW,LOW,
PALMITOYL MYRISTYL SERINATE,1,LOW,LOW,LOW,LOW,
CITRUS GRANDIS (GRAPEFRUIT) FRUIT WATER,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (low)"
SODIUM OLIVOYL GLUTAMATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SILVER CITRATE,2,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Ecotoxicology (low)
Crambe Abyssinica Seed Oil Phytosterol Esters,1,LOW,LOW,LOW,LOW,
HELICHRYSUM ANGUSTIFOLIUM (EVERLASTING) WAX,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
PEG-8 METHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PERILLA OCYMOIDES (BEEFSTEAK PLANT) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
PROPOLIS,1,LOW,LOW,LOW,LOW,
ROSE FLOWER WATER,1,LOW,LOW,LOW,LOW,
NARCISSUS POETICUS FLOWER WAX,1,LOW,LOW,LOW,LOW,
POLIANTHES TUBEROSA FLOWER WAX,1,LOW,LOW,LOW,LOW,
"2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol",1,LOW,LOW,LOW,LOW,
BLACK SEED OIL,1,LOW,LOW,LOW,LOW,
PHYLLOSTACHYS BAMBUSOIDES EXTRACT,1,LOW,LOW,LOW,LOW,
DIPALMITOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
DISODIUM SUCCINATE,1,LOW,LOW,LOW,LOW,
HYDROXYPROPYLTRIMONIUM CHLORIDE,1,LOW,LOW,LOW,LOW,
OLETH-10 PHOSPHATE,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
PLUMERIA ALBA (NOSEGAYTREE) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
ACHILLEA MILLEFOLIUM (COMMON YARROW) FLOWER WATER,1,LOW,LOW,LOW,LOW,
PROLINAMIDOETHYL IMIDAZOLE,1,LOW,LOW,LOW,LOW,
SILYBUM MARIANUM SEED OIL,1,LOW,LOW,LOW,LOW,
SODIUM LAUROYL HYDROLYZED SILK,1,LOW,LOW,LOW,LOW,
ARACHIS HYPOGAEA (PEANUT) OIL,1,LOW,LOW,LOW,MODERATE,Enhanced skin absorption and Use restrictions (moderate)
HELIANTHUS ANNUUS (SUNFLOWER) PETAL EXTRACT,1,LOW,LOW,LOW,LOW,
PERILLA OCYMOIDES (BEEFSTEAK PLANT) OIL,1,LOW,LOW,LOW,LOW,
PHENOL,7,LOW,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (high), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (high)"
SODIUM CARBOXYMETHYL STARCH,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Non-reproductive organ system toxicity (moderate)
TETRAPOTASSIUM PYROPHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
BOSWELLIA SERRATA OIL,1,LOW,LOW,LOW,LOW,
PEUCEDANUM GRAVEOLENS (DILL) EXTRACT,1,LOW,LOW,LOW,LOW,
POLYSILICONE-13,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
TILIA EUROPAEA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
CETYL DIMETHICONE/ BIS-VINYLDIMETHICONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
OCTAFLUOROPENTYL METHACRYLATE,0,MODERATE,HIGH,HIGH,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Persistence and bioaccumulation (high), and Non-reproductive organ system toxicity (moderate)"
PALMITOYL DIPEPTIDE-5 DIAMINOHYDROXYBUTYRATE,1,LOW,LOW,LOW,LOW,
ACRYLATES/ ACRYLAMIDE COPOLYMER,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
ORMENIS MULTICAULIS (CHAMOMILE) EXTRACT,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
ACRYLAMIDOPROPYLTRIMONIUM CHLORIDE/ ACRYLATES COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
HYDROLYZED RICE EXTRACT,1,LOW,LOW,LOW,LOW,Contamination concerns (high)
POLYGLYCERYL-10 PENTAOLEATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
POLYCYCLOPENTADIENE,1,LOW,LOW,LOW,LOW,
TRIDECETH-15,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
ISOSTEARETH-200 LINOLEATE,1,LOW,LOW,LOW,LOW,
MORUS NIGRA (BLACK MULBERRY) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-40 SORBITAN PEROLEATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ROSA DAMASCENA (ROSE) FLOWER,1,LOW,LOW,LOW,LOW,
TOTAROL,1,LOW,LOW,LOW,LOW,
MAHONIA AQUIFOLIUM ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
POTASSIUM AZELOYL DIGLYCINATE,1,LOW,LOW,LOW,LOW,
PRUNUS ARMENIACA (APRICOT) KERNEL OIL UNSAPONIFIABLES,1,LOW,LOW,LOW,LOW,
SOY ISOFLAVONES,1,LOW,LOW,LOW,LOW,
THYMUS VULGARIS (THYME) LEAF,1,LOW,LOW,LOW,LOW,
D&C ORANGE 17 LAKE,6,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
TONKA BEAN OIL,1,LOW,LOW,LOW,LOW,
CORIANDRUM SATIVUM (CORIANDER) OIL,1,LOW,LOW,LOW,LOW,
HEXADECANE,1,LOW,LOW,LOW,LOW,
DIPENTAERYTHRITYL PENTAISONONANOATE,1,LOW,LOW,LOW,LOW,
ALIPHATIC URETHANE ACRYLATE,1,LOW,LOW,LOW,LOW,
OCIMUM BASILICUM (BASIL) ISOLATE,1,LOW,LOW,LOW,LOW,
COMMIPHORA MYRRHA (MYRRH),1,LOW,LOW,LOW,LOW,
EMU OIL,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
ISOCETYL ALCOHOL,1,LOW,LOW,LOW,LOW,
PROPYLENE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
TRIISOSTEAROYL POLYGLYCERYL-3 DIMER DILINOLEATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
THYMUS SERPILLUM (WILD THYME) EXTRACT,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
ZIZYPHUS JUJUBA (JUJUBE) FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
SOLANUM TUBEROSUM (POTATO) STARCH,1,LOW,LOW,LOW,LOW,
OCTYLDODECYL XYLOSIDE,1,LOW,LOW,LOW,LOW,
OPUNTIA VULGARIS (CACTUS) EXTRACT,1,LOW,LOW,LOW,LOW,
CERIUM OXIDE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
CETEARYL PHOSPHATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
METHYL METHACRYLATE/ GLYCOL DIMETHACRYLATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
NORDIHYDROGUAIARETIC ACID,1,LOW,LOW,LOW,LOW,
SILICA SILCYLATE,1,LOW,LOW,LOW,LOW,
BIOSACCHARIDE GUM-2,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) JUICE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
JASMINUM GRANDIFLORUM (JASMINE) FLOWER WAX,1,LOW,LOW,LOW,LOW,
POLYURETHANE-15,1,LOW,LOW,LOW,LOW,
PRUNUS PERSICA (PEACH) JUICE,1,LOW,LOW,LOW,LOW,
SECALE CEREALE (RYE) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM GLUCEPTATE,1,LOW,LOW,LOW,LOW,
STEARYL PALMITATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
4-t-BUTYLCYCLOHEXANOL,1,LOW,LOW,LOW,LOW,
PEG-8 DODECENYLSUCCINATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SODIUM ACRYLATE/ SODIUM ACRYLOYLDIMETHYL TAURATE/ ACRYLAMIDE COPOLYMER,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
RUBUS CHAMAEMORUS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
"ERGOLINE-8-BETA-CARBOXAMIDE, 9,10-DIDEHYDRO-N,N-DIETHYL-6-METHYL-",1,LOW,LOW,LOW,LOW,
SODIUM HYDROXYPROPYLSULFONATE LAURYLGLUCOSIDE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
DODECENE,1,LOW,LOW,LOW,LOW,
POTASSIUM THIOGLYCOLATE,2,LOW,LOW,LOW,HIGH,Use restrictions (high)
HYDROGENATED POTATO STARCH,1,LOW,LOW,LOW,LOW,
OXYCOCCUS PALUSTRIS SEED OIL,1,LOW,LOW,LOW,LOW,
PRUNELLA VULGARIS LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
ANIBA ROSODORA (ROSEWOOD) EXTRACT,1,LOW,LOW,LOW,LOW,
BUTTERMILK POWDER,1,LOW,LOW,LOW,LOW,
OAT BETA GLUCAN,1,LOW,LOW,LOW,LOW,
TILIA CORDATA (LINDEN) FLOWER,1,LOW,LOW,LOW,LOW,
TRAMETES VERSICOLOR EXTRACT,1,LOW,LOW,LOW,LOW,
PIPER NIGRUM (BLACK PEPPER) OIL,1,LOW,LOW,LOW,LOW,
TEREPHTHALATE,1,LOW,LOW,LOW,LOW,
ISOSTEARAMIDE MIPA,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
GARDENIA JASMINOIDES (GARDENIA) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
OLIVE OIL DECYL ESTERS,1,LOW,LOW,LOW,LOW,
OLIVE GLYCERIDES,1,LOW,LOW,LOW,LOW,
BEHENALKONIUM CHLORIDE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
HYDROLYZED ADANSONIA DIGITATA,1,LOW,LOW,LOW,LOW,
PALM EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM BOROSILICATE,2,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
HYDROXYETHYL ETHYLCELLULOSE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
IMPATIENS BALSAMINA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-200 GLYCERYL STEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SEA SILT,1,LOW,LOW,LOW,LOW,
SODIUM LAURETH-8 SULFATE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Irritation (skin, eyes, or lungs) (moderate), and Contamination concerns (high)"
SODIUM SUNFLOWER SEEDATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
Acacia Decurrens/ Jojoba/ Sunflower Seed/ Polyglyceryl-3 Esters,1,LOW,LOW,LOW,LOW,
HEXAMIDINE DIISETHIONATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
SUCROSE BENZOATE,1,LOW,LOW,LOW,LOW,
SYMPHYTUM OFFICINALE (COMFREY) ROOT,4,MODERATE,LOW,LOW,LOW,Non-reproductive organ system toxicity (high)
CANDIDA BOMBICOLA/ GLUCOSE/ METHYL RAPESEEDATE FERMENT,1,LOW,LOW,LOW,LOW,
CASSIA ALATA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
HEDYCHIUM CORONARIUM (AWAPUHI OR WHITE GINGER),1,LOW,LOW,LOW,LOW,
ISODECYL OLEATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PEG-14 DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
SALIX ALBA (WHITE WILLOW) EXTRACT,1,LOW,LOW,LOW,LOW,
RASPBERRY SEED OIL PEG-8 ESTERS,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
TRITICUM VULGARE (WHEAT) STARCH,2,LOW,MODERATE,LOW,LOW,
CITRUS LIMON (LEMON) SEED OIL,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
HYDROLYZED OPUNTIA FICUS INDICA FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
3-METHYL BUTYL ACETATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high)"
OXACYCLOHEPTADEC-10-EN-2-ONE,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), and Ecotoxicology (low)"
VITIS VINIFERA (GRAPE) SEED,1,LOW,LOW,LOW,LOW,
COPTIS CHINENSIS ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
PANICUM MILIACEUM (MILLET) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
PAPAVER SOMNIFERUM SEED EXTRACT,1,LOW,LOW,LOW,LOW,
VOLCANIC SAND,1,LOW,LOW,LOW,LOW,
MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF,1,LOW,LOW,LOW,LOW,
GARDENIA TAHITENSIS (MONOI DE TAHITI) OIL,1,LOW,LOW,LOW,LOW,
JOJOBA OIL/ MACADAMIA SEED OIL ESTERS,1,LOW,LOW,LOW,LOW,
ALUMINUM GLYCINATE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
BLACK TEA LEAF,1,LOW,LOW,LOW,LOW,
BUPLEURUM FALCATUM (SICKLE-LEAF HARE'S EAR) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS PARADISI (GRAPEFRUIT),4,LOW,HIGH,LOW,LOW,"Persistence and bioaccumulation (moderate), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
GLYCINE SOJA (SOYBEAN),1,LOW,LOW,LOW,LOW,
LUFFA CYLINDRICA (LUFFA AEGYPTIACA) FRUIT,1,LOW,LOW,LOW,LOW,
LUFFA CYLINDRICA (LUFFA AEGYPTIACA) SEED OIL,1,LOW,LOW,LOW,LOW,
SALIX ALBA (WHITE WILLOW) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM COCO PG DIMONIUM CHLORIDE PHOSPHATE,1,LOW,LOW,LOW,LOW,
SODIUM FORMATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Multiple, additive exposure sources (low)"
BASIC GREEN 1,5,MODERATE,LOW,LOW,HIGH,Use restrictions (high)
C32-36 ISOALKYL STEARATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
CASTANEA SATIVA (CHESTNUT) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
CEDRUS ATLANTICA BARK EXTRACT,2,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
GLYCERYL STEARATES,1,LOW,LOW,LOW,LOW,
MEADOWFOAM ESTOLIDE,1,LOW,LOW,LOW,LOW,
OENOTHERA BIENNIS SEED EXTRACT,1,LOW,LOW,LOW,LOW,
PALMITOYL GRAPE SEED EXTRACT,1,LOW,LOW,LOW,LOW,
TAGETES MINUTA FLOWER OIL,1,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Irritation (skin, eyes, or lungs) (moderate)"
VITIS VINIFERA (GRAPE) VINE EXTRACT,1,LOW,LOW,LOW,LOW,
3-AMINOPROPYLTRIETHOXYSILANE,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Occupational hazards (high)
CETYL OCTANOATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CISTUS LADANIFERUS OIL,1,LOW,LOW,LOW,LOW,"Multiple, additive exposure sources (low)"
TRITICUM VULGARE (WHEAT),1,LOW,LOW,LOW,LOW,
CITRUS LIMON (LEMON) FRUIT WATER,1,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate) and Irritation (skin, eyes, or lungs) (low)"
POTASSIUM IODIDE,2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
RUBUS FRUTICOSUS (BLACKBERRY) OIL,1,LOW,LOW,LOW,LOW,
NONAPEPTIDE-1,1,LOW,LOW,LOW,LOW,
SASA KURILENSIS WATER,1,LOW,LOW,LOW,LOW,
SPIRULINA PLATENSIS POWDER,1,LOW,LOW,LOW,LOW,
XYLITYL CAPRATE/ CAPRYLATE,1,LOW,LOW,LOW,LOW,
AMLA,1,LOW,LOW,LOW,LOW,
BENZYL,1,LOW,LOW,LOW,LOW,
BRASSICA OLERACEA ACEPHALA (KALE),1,LOW,LOW,LOW,LOW,
LAVANDULA HYBRIDA (LAVANDIN),2,LOW,LOW,LOW,LOW,"Endocrine disruption (moderate) and Multiple, additive exposure sources (low)"
POTASSIUM THIOCYANATE,1,LOW,LOW,LOW,LOW,
ROSA GALLICA (FRENCH ROSE),1,LOW,LOW,LOW,LOW,
STEARAMIDOPROPYL DIMETHYLAMINE LACTATE,1,LOW,LOW,LOW,LOW,
PHYTOSTERYL CANOLA GLYCERIDES,1,LOW,LOW,LOW,LOW,
SODIUM ACRYLATES CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
GLYCINE SOJA (SOYBEAN) SEED PEROXIDASE,1,LOW,LOW,LOW,LOW,
CORYLUS (HAZELNUT) OIL,1,LOW,LOW,LOW,LOW,
FD&C YELLOW 5 (CI 19140) ZIRCONIUM LAKE,4,LOW,MODERATE,LOW,LOW,"Use restrictions (low), Neurotoxicity (moderate), Endocrine disruption (low), Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Contamination concerns (high)"
ETHYL MALTOL,1,LOW,LOW,LOW,LOW,
ETHYL MALTOL,1,LOW,LOW,LOW,LOW,
VEGETABLE GLYCERYL STEARATE,1,LOW,LOW,LOW,LOW,
BAMBUSA VULGARIS WATER,1,LOW,LOW,LOW,LOW,
C11-13 ISOPARAFFIN,1,LOW,LOW,LOW,LOW,Use restrictions (low)
JUNIPERUS COMMUNIS (JUNIPER),2,LOW,LOW,LOW,LOW,"Use restrictions (low), Endocrine disruption (low), Non-reproductive organ system toxicity (low), and Irritation (skin, eyes, or lungs) (low)"
SOYMILK,1,LOW,LOW,LOW,LOW,
CYCLOHEXYLAMINE,6,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (high)"
ISOLAURETH-6,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
NEOPENTYL GLYCOL DIISOSTEARATE,1,LOW,LOW,LOW,LOW,
NYLON-12 POLYISOPRENE,1,LOW,LOW,LOW,LOW,
PAULLINIA CUPANA (GUARANA) EXTRACT,1,LOW,LOW,LOW,LOW,
ROSE HIPS FRUIT OIL,3,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate)
SODIUM COCOAMPHOPROPIONATE,1,LOW,LOW,LOW,LOW,
CHRYSANTHEMUM SINENSE FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROXYPROPYL METHACRYLATE,2,LOW,MODERATE,LOW,LOW,Use restrictions (low)
PASSIFLORA EDULIS FRUIT JUICE,1,LOW,LOW,LOW,LOW,
PENTADESMA BUTYRACEA SEED BUTTER,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-13,1,LOW,LOW,LOW,LOW,
SOLIDAGO VIRGAUREA (GOLDENROD) EXTRACT,1,LOW,LOW,LOW,LOW,
VACCINIUM MYRTILLUS (BILBERRY) SEED OIL,1,LOW,LOW,LOW,LOW,
VACCINIUM VITIS-IDAEA SEED OIL,1,LOW,LOW,LOW,LOW,
HYDROLYZED GARCINIA MANGOSTANA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
BIS-OCTYLDODECYL DIMER DILINOLEATE/ PROPANEDIOL COPOLYMER,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM DULCIS (ORANGE) CALLUS CULTURE EXTRACT,1,LOW,LOW,LOW,LOW,
ACETYL TRIETHYL CITRATE,2,LOW,MODERATE,LOW,LOW,
BUTYLENE,1,LOW,LOW,LOW,LOW,
CALCIUM PEROXIDE,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
CNIDIUM OFFICINALE (MARSH PARSLEY) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
LAURETH-8,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
POTASSIUM PERSULFATE,3,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
SODIUM METHYL STEAROYL TAURATE,1,LOW,LOW,LOW,LOW,
BALANITES ROXBURGHII SEED OIL,1,LOW,LOW,LOW,LOW,
LAVANDULA STOECHAS EXTRACT,1,LOW,LOW,LOW,LOW,
RUBUS IDAEUS (RASPBERRY) SEED,1,LOW,LOW,LOW,LOW,
THEOBROMA CACAO FRUIT POWDER,1,LOW,LOW,LOW,LOW,
PHYSALIS ANGULATA EXTRACT,1,LOW,LOW,LOW,LOW,
PALMITOYL TRIPEPTIDE-37,1,LOW,LOW,LOW,LOW,
OSMANTHUS FRAGRANS (SWEET OLIVE) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-2 OLEAMINE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
POLYQUATERNIUM-32,2,LOW,LOW,LOW,MODERATE,"Use restrictions (moderate), Persistence and bioaccumulation (moderate), and Non-reproductive organ system toxicity (moderate)"
SODIUM ERYTHORBATE,1,LOW,LOW,LOW,LOW,
LAURAMIDE DIPA,1,LOW,LOW,LOW,LOW,
C24-28 ALKYL METHICONE,1,LOW,LOW,LOW,LOW,
